"business_name","telephone","street","locality","region","zipcode","website","business_page","search_category","updated_at"
"Priority Plumbing","416-421-5130","","","","","","https://www.yellowpages.ca/bus/Ontario/Priority-Plumbing/101672505.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.564358"
"Master Plumber","613-246-0463","","","","","","https://www.yellowpages.ca/bus/Ontario/Master-Plumber/8157035.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.564549"
"Steve Plumbing Inc","416-456-0556","","","","","","https://www.yellowpages.ca/bus/Ontario/Steve-Plumbing-Inc/8218685.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.564738"
"Priority Plumbing","519-762-3446","","","","","","https://www.yellowpages.ca/bus/Ontario/Priority-Plumbing/101055595.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.564928"
"Redline Plumbing","647-981-5010","","","ON","Z3Z 3Z3","","https://www.yellowpages.ca/bus/Ontario/Redline-Plumbing/100668928.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.565136"
"Master Plumber","416-948-6536","","","","","","https://www.yellowpages.ca/bus/Ontario/Master-Plumber/100394379.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.565326"
"Master Plumber","613-885-6463","","","","","","https://www.yellowpages.ca/bus/Ontario/Master-Plumber/8082797.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.565514"
"Next Plumbing Supply","416-466-4884","17 Polson St","Toronto","ON","M5A 1A4","https://www.yellowpages.ca/gourl/cc46ccba80277f59fa8752baa3af99a95dcf0d7c?redirect=http%3A%2F%2Fwww.nextsupply.ca%2F","https://www.yellowpages.ca/bus/Ontario/Toronto/Next-Plumbing-Supply/8237586.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.565751"
"Park Lane Plumbing Ltd","416-553-1186","","","","","","https://www.yellowpages.ca/bus/Ontario/Park-Lane-Plumbing-Ltd/7177054.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.565987"
"Richmond Hill Plumbing","647-556-4847","","Toronto","ON","Z3Z 3Z3","","https://www.yellowpages.ca/bus/Ontario/Toronto/Richmond-Hill-Plumbing/100465255.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.566266"
"Phoenix Plumbing","416-821-0088","","","","","","https://www.yellowpages.ca/bus/Ontario/Phoenix-Plumbing/5982796.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.566476"
"Y T Gifts Co Ltd","416-364-7188","30 Wellington St E","Toronto","ON","M5E 1S3","","https://www.yellowpages.ca/bus/Ontario/Toronto/Y-T-Gifts-Co-Ltd/8143102.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.566709"
"Ryan's Plumbing","416-676-8979","55 Lyton Cres","Stoney Creek","ON","L8J 2C8","","https://www.yellowpages.ca/bus/Ontario/Stoney-Creek/Ryan-s-Plumbing/101280848.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.566951"
"JR Plumbing","416-648-0038","","","","","","https://www.yellowpages.ca/bus/Ontario/JR-Plumbing/7227377.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.567149"
"Butler Plumbing","613-725-9898","","","","","","https://www.yellowpages.ca/bus/Ontario/Butler-Plumbing/8095661.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.567347"
"Marci Plumbing And Heating Ltd","416-244-8956","","","","","","https://www.yellowpages.ca/bus/Ontario/Marci-Plumbing-And-Heating-Ltd/1014183.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.567539"
"Enercare Home Services","519-659-7501","","","","","","https://www.yellowpages.ca/bus/Ontario/Enercare-Home-Services/100659480.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.567730"
"Four Seasons Mechanical","416-805-5289","48 Baronwood Crt","Brampton","ON","L6V 3H6","","https://www.yellowpages.ca/bus/Ontario/Brampton/Four-Seasons-Mechanical/100031614.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.567959"
"Chris Plumbing","647-292-1723","","","","","","https://www.yellowpages.ca/bus/Ontario/Chris-Plumbing/101024231.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:25.568148"
"Chris Plumbing","613-355-9175","","","","","","https://www.yellowpages.ca/bus/Ontario/Chris-Plumbing/101076609.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.702911"
"Munger Plumbing & Electric","519-738-9163","","","","","","https://www.yellowpages.ca/bus/Ontario/Munger-Plumbing-Electric/100760357.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.703116"
"Empire Plumbing","647-885-9057","","","","","","https://www.yellowpages.ca/bus/Ontario/Empire-Plumbing/100747147.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.703323"
"Luke Bingham Plumbing","905-244-8065","","","","","","https://www.yellowpages.ca/bus/Ontario/Luke-Bingham-Plumbing/101023707.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.703526"
"Enercare Home Services","905-353-9650","","","","","","https://www.yellowpages.ca/bus/Ontario/Enercare-Home-Services/101231773.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.703727"
"Enercare Home Services","613-247-9880","","","","","","https://www.yellowpages.ca/bus/Ontario/Enercare-Home-Services/101103331.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.703928"
"Enercare Home Services","519-763-8060","","","","","","https://www.yellowpages.ca/bus/Ontario/Enercare-Home-Services/101121021.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.704132"
"Enercare Home Services","519-256-9110","","","","","","https://www.yellowpages.ca/bus/Ontario/Enercare-Home-Services/101312552.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.704337"
"Enercare Home Services","705-737-4816","","","","","","https://www.yellowpages.ca/bus/Ontario/Enercare-Home-Services/101279400.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.704547"
"Enercare Home Services","613-771-1722","","","","","","https://www.yellowpages.ca/bus/Ontario/Enercare-Home-Services/101228660.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.704756"
"Royal Plumbing Services","416-537-0038","614 Dufferin St","Toronto","ON","M6K 2A9","https://www.yellowpages.ca/gourl/fd5587b94fa7dc858465447c35340be812cfaf6e?redirect=http%3A%2F%2Fwww.royalplumbers.ca%2F","https://www.yellowpages.ca/bus/Ontario/Toronto/Royal-Plumbing-Services/1369596.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.705055"
"A Alert Drain","416-244-6891","","","ON","L4K 4E9","javascript:void(0);","https://www.yellowpages.ca/bus/Ontario/A-Alert-Drain/2720222.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.705308"
"Providence Plumbing","647-551-2069","345 Highfield Rd","Toronto","ON","M4L 2V4","https://www.yellowpages.ca/gourl/4aab553f49768dba817068429623a42bf60664dd?redirect=http%3A%2F%2Fwww.facebook.com%2F1544116235911807","https://www.yellowpages.ca/bus/Ontario/Toronto/Providence-Plumbing/101110088.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.705606"
"Harris Plumbing","905-853-8520
1-866-786-1801","","Newmarket","ON","","javascript:void(0);","https://www.yellowpages.ca/bus/Ontario/Newmarket/Harris-Plumbing/101010989.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.705860"
"RR Plumbing","416-828-4843","","","ON","Z6Z 6Z6","","https://www.yellowpages.ca/bus/Ontario/RR-Plumbing/100751717.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.706114"
"AMC Plumbing Services","647-989-6002","461 Heddle Cres","Newmarket","ON","L3X 2J4","https://www.yellowpages.ca/gourl/52ccc590181ce49da77db0aa11d1f3105774ae98?redirect=http%3A%2F%2Fwww.amcplumbingservices.ca%2F","https://www.yellowpages.ca/bus/Ontario/Newmarket/AMC-Plumbing-Services/100751631.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.706440"
"Throne Plumbing Gas Ltd","416-855-9899","8-1200 Phillip Murray Ave","Oshawa","ON","L1J 6Z8","https://www.yellowpages.ca/gourl/1ef2a577ea8910bb35286da74c93addb8255c132?redirect=http%3A%2F%2Fwww.throneplumbing.ca%2F","https://www.yellowpages.ca/bus/Ontario/Oshawa/Throne-Plumbing-Gas-Ltd/100986436.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.706711"
"Gravity Plumbing and Heating","705-344-6835","200 Shamrock Road","Kawartha Lakes","ON","K0L 2W0","https://www.yellowpages.ca/gourl/9fad9a613252fcc11ce29181d1d8f383e5263247?redirect=http%3A%2F%2Fwww.gravityplumbingandheating.ca%2F","https://www.yellowpages.ca/bus/Ontario/Kawartha-Lakes/Gravity-Plumbing-and-Heating/101309718.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.706981"
"Harding Plumbing And Heating","416-405-8496","224 Sloane Ave","North York","ON","M4A 2C7","https://www.yellowpages.ca/gourl/2e0147e03276c81a2739d19f5a979b61b5d69e0e?redirect=http%3A%2F%2Fwww.hardingplumbingandheating.com%2F","https://www.yellowpages.ca/bus/Ontario/North-York/Harding-Plumbing-And-Heating/751575.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.707253"
"Renaissance Painters","226-234-6397","","London","ON","N5Y 3P3","","https://www.yellowpages.ca/bus/Ontario/London/Renaissance-Painters/101055480.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.707501"
"Alba Watertech Inc","416-890-4507","1291 Bayview Ave","East York","ON","M4G 2Z9","https://www.yellowpages.ca/gourl/c255120878629f2e28c47a81c69f4400a06b0f26?redirect=http%3A%2F%2Falbawatertech.ca%2F","https://www.yellowpages.ca/bus/Ontario/East-York/Alba-Watertech-Inc/7969406.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.707761"
"Lisi Mechanical Contractors Ltd","416-674-8333","160 Disco Rd","Etobicoke","ON","M9W 1M4","https://www.yellowpages.ca/gourl/9f5356f7ea3f1f906eb85e2039f944e6496fb006?redirect=http%3A%2F%2Fwww.lisimechanical.com%2F","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Lisi-Mechanical-Contractors-Ltd/965357.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.708022"
"Pearce Plumbing","647-291-8905","","","","","","https://www.yellowpages.ca/bus/Ontario/Pearce-Plumbing/7912809.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.708236"
"Platinum Plumbing","416-825-6839","","Vaughan","ON","","","https://www.yellowpages.ca/bus/Ontario/Vaughan/Platinum-Plumbing/101054589.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.708469"
"Precision Plumbing","416-410-2913","","","","","","https://www.yellowpages.ca/bus/Ontario/Precision-Plumbing/1260725.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.708679"
"ADP Toronto Plumbing","416-822-2221","51 Homewood Ave","Toronto","ON","M4Y 2K1","https://www.yellowpages.ca/gourl/4333e34f994de108383e343efd4a16f700f5c24a?redirect=http%3A%2F%2Fonetorontoplumbing.com%2F","https://www.yellowpages.ca/bus/Ontario/Toronto/ADP-Toronto-Plumbing/8208951.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.708956"
"The Pipe Wrenchers","416-879-2050","700 Ontario St","Toronto","ON","M4X 1N2","https://www.yellowpages.ca/gourl/f7f988239d877cc1926ffc33681e64e92248e4b2?redirect=https%3A%2F%2Fwww.facebook.com%2Fthepipewrenchers%2F","https://www.yellowpages.ca/bus/Ontario/Toronto/The-Pipe-Wrenchers/101427954.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.709224"
"Adam Plumbing & Heating","647-317-4355","275 Dundas St W","Toronto","ON","M5T 3K1","","https://www.yellowpages.ca/bus/Ontario/Toronto/Adam-Plumbing-Heating/7160013.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.709463"
"Nissi Plumbing","416-878-1995","","","","","","https://www.yellowpages.ca/bus/Ontario/Nissi-Plumbing/7869720.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.709661"
"Bracks Plumbing","519-495-1053","","London","ON","","","https://www.yellowpages.ca/bus/Ontario/London/Bracks-Plumbing/101066565.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.709889"
"Plumbing Electrical Company","519-729-3502","","","","","","https://www.yellowpages.ca/bus/Ontario/Plumbing-Electrical-Company/8135348.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.710106"
"DM Plumbing & Drain Service","416-677-9966","5949 Yonge St","North York","ON","M2M 3V8","https://www.yellowpages.ca/gourl/f56929a65f918a8e1eeb7f514dc506d811f926c3?redirect=http%3A%2F%2Fwww.facebook.com%2F137957290242747","https://www.yellowpages.ca/bus/Ontario/North-York/DM-Plumbing-Drain-Service/100031262.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.710334"
"Vanguard Mechanical Ltd","416-783-5936","27 Meteor Dr","Etobicoke","ON","M9W 1A3","https://www.yellowpages.ca/gourl/f33db6dca482b54ea82e9c3ef0e06e7d6fcfa3e5?redirect=http%3A%2F%2Fwww.vanguardmechanical.com%2F","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Vanguard-Mechanical-Ltd/3561893.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.710594"
"Dodds Plumbing","905-230-1396","57 Brackmere Circle","Brampton","ON","L6W 4B9","https://www.yellowpages.ca/gourl/b734d6d865a4b8e7f4451f6e9c0548f3000e97ff?redirect=http%3A%2F%2Fwww.facebook.com%2F233151970564579","https://www.yellowpages.ca/bus/Ontario/Brampton/Dodds-Plumbing/101549322.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.710830"
"Macrory Plumbing","416-788-6232","1281 De Quincy Cres","Burlington","ON","L7P 1E5","https://www.yellowpages.ca/gourl/c0a4bfb95c29390600d277f0a17a2335bdde77cc?redirect=http%3A%2F%2Fwww.macroryplumbing.com%2F","https://www.yellowpages.ca/bus/Ontario/Burlington/Macrory-Plumbing/102203216.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:26.711070"
"Whitetail","613-229-1030","","","","","","https://www.yellowpages.ca/bus/Ontario/Whitetail/6466465.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.611440"
"Walker's Plumbing","416-231-5031","10 Kings Point Dr","Etobicoke","ON","M8Y 1Z4","https://www.yellowpages.ca/gourl/88ea66dc0e6967bf958fc58e952faf83a9f10a36?redirect=http%3A%2F%2Fwww.facebook.com%2F134031727268349","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Walker-s-Plumbing/2609859.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.611720"
"Frank The Plumber","416-399-9657","42 Majestic Cres","Brampton","ON","L6S 3N2","https://www.yellowpages.ca/gourl/8314eb471abbbb31bd9ac11e888c99c9d45bfe64?redirect=http%3A%2F%2Fwww.facebook.com%2F174293389830795","https://www.yellowpages.ca/bus/Ontario/Brampton/Frank-The-Plumber/102094335.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.611960"
"Reliable Plumbing Solutions","416-569-5077","1498 Pilgrims Way","Oakville","ON","L6M 3G9","https://www.yellowpages.ca/gourl/5cbab9409a583ecaa6707cf674eea9945d3f3320?redirect=https%3A%2F%2Fwww.facebook.com%2FReliablePlumbing79%2F","https://www.yellowpages.ca/bus/Ontario/Oakville/Reliable-Plumbing-Solutions/102285602.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.612201"
"Milton Plumbing Ltd","416-528-7292","","","","","","https://www.yellowpages.ca/bus/Ontario/Milton-Plumbing-Ltd/7185242.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.612401"
"Precision Plumbing","705-321-6749","","","","","","https://www.yellowpages.ca/bus/Ontario/Precision-Plumbing/101023879.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.612621"
"Burnett's Highland Plumbing","416-607-6234","","","","","","https://www.yellowpages.ca/bus/Ontario/Burnett-s-Highland-Plumbing/100328201.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.612813"
"Drainworks","647-362-2187","80 Nealon Ave","East York","ON","M4K 1Z2","","https://www.yellowpages.ca/bus/Ontario/East-York/Drainworks/102363593.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.613044"
"Steve's Plumbing","647-883-9929","1 St Clair Ave W","Toronto","ON","M4V 1K6","","https://www.yellowpages.ca/bus/Ontario/Toronto/Steve-s-Plumbing/101778888.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.613274"
"Gas & Plumbing","416-806-1280","","","","","","https://www.yellowpages.ca/bus/Ontario/Gas-Plumbing/8111770.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.613467"
"P's Plumbing","519-681-9959","","","","","","https://www.yellowpages.ca/bus/Ontario/P-s-Plumbing/6896910.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.613658"
"David Plumbing","647-729-6856","","","","","","https://www.yellowpages.ca/bus/Ontario/David-Plumbing/101302316.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.613850"
"Faucet Fix","613-812-8397","","","","","","https://www.yellowpages.ca/bus/Ontario/Faucet-Fix/101652213.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.614046"
"Apprentice Plumber","613-401-7188","","","","","","https://www.yellowpages.ca/bus/Ontario/Apprentice-Plumber/100956707.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.614239"
"VR Plumbing","416-409-4127","","","","","","https://www.yellowpages.ca/bus/Ontario/VR-Plumbing/100959087.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.614443"
"Cheap Junk Removal","226-234-0782","","","","","","https://www.yellowpages.ca/bus/Ontario/Cheap-Junk-Removal/101035826.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.614636"
"Precision Plumbing","519-722-8112","","","","","","https://www.yellowpages.ca/bus/Ontario/Precision-Plumbing/101113447.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.614827"
"RPR Plumbing","613-806-5812","","","","","","https://www.yellowpages.ca/bus/Ontario/RPR-Plumbing/101071373.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.615017"
"Joe's Plumbing","416-712-1181","","","","","","https://www.yellowpages.ca/bus/Ontario/Joe-s-Plumbing/101065302.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.615208"
"Al's Plumbing","613-795-3956","","","","","","https://www.yellowpages.ca/bus/Ontario/Al-s-Plumbing/101075966.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.615398"
"Heating Cooling & Plumbing","416-670-7740","","","","","","https://www.yellowpages.ca/bus/Ontario/Heating-Cooling-Plumbing/100510016.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.615588"
"Same Day Plumbing","416-907-8703","","","","","","https://www.yellowpages.ca/bus/Ontario/Same-Day-Plumbing/100541848.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.615778"
"Active Plumbing","416-494-7222","","","","","","https://www.yellowpages.ca/bus/Ontario/Active-Plumbing/100826136.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.615958"
"Superior Plumbing","613-680-2084","","","","","","https://www.yellowpages.ca/bus/Ontario/Superior-Plumbing/100848848.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.616149"
"Adam's Plumbing","905-627-7739
1-888-858-3112","","","","","","https://www.yellowpages.ca/bus/Ontario/Adam-s-Plumbing/100800999.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.616344"
"Jeff's Plumbing","519-398-9234","","","","","","https://www.yellowpages.ca/bus/Ontario/Jeff-s-Plumbing/101009450.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.616535"
"PHD plumbing","416-453-8366","","","","","","https://www.yellowpages.ca/bus/Ontario/PHD-plumbing/101224432.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.616724"
"Absolute Plumbing","647-559-9187","","","","","","https://www.yellowpages.ca/bus/Ontario/Absolute-Plumbing/101195471.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.616914"
"Nitrus Plumbing","416-830-9538","","","","","","https://www.yellowpages.ca/bus/Ontario/Nitrus-Plumbing/101022041.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.617104"
"Peters Plumbing","705-930-0301","","","","","","https://www.yellowpages.ca/bus/Ontario/Peters-Plumbing/101017461.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.617293"
"Joe's Plumbing","416-710-9600","","","","","","https://www.yellowpages.ca/bus/Ontario/Joe-s-Plumbing/101191307.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.617482"
"JP Plumbing","289-697-1430","","","","","","https://www.yellowpages.ca/bus/Ontario/JP-Plumbing/101135332.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.617671"
"Primo Plumbing","416-802-8621","","","","","","https://www.yellowpages.ca/bus/Ontario/Primo-Plumbing/100390050.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.617860"
"Plumbico","416-303-5738","","","","","","https://www.yellowpages.ca/bus/Ontario/Plumbico/100564009.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.618053"
"Plumbella","519-465-0397","","","","","","https://www.yellowpages.ca/bus/Ontario/Plumbella/7018032.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:27.618272"
"Plumber+","647-542-1488","","","","","","https://www.yellowpages.ca/bus/Ontario/Plumber/100784538.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:28.653144"
"Plumber99","416-887-2095","","TORONTO","ON","","","https://www.yellowpages.ca/bus/Ontario/TORONTO/Plumber99/101642213.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:28.653369"
"Spardel","416-678-1857","84 Vankoughnet E","Toronto","ON","P0P 1K0","","https://www.yellowpages.ca/bus/Ontario/Toronto/Spardel/6511340.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:28.653606"
"Artery","416-305-9134","95 Coleridge Ave","Toronto","ON","M4C 4H7","","https://www.yellowpages.ca/bus/Ontario/Toronto/Artery/101783420.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:28.653849"
"Fia Plumbing And Heating Ltd","416-237-9354","23-30 Titan Rd","Etobicoke","ON","M8Z 5Y2","","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Fia-Plumbing-And-Heating-Ltd/101431605.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:28.654073"
"Seb","647-557-5588","1315 Silver Spear Rd","Mississauga","ON","L4Y 2W8","","https://www.yellowpages.ca/bus/Ontario/Mississauga/Seb/102361463.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:28.654306"
"Kestral","647-885-6580","5867 Chessman Crt","Mississauga","ON","L5M 6P4","","https://www.yellowpages.ca/bus/Ontario/Mississauga/Kestral/101803714.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:28.654556"
"PlumberGirl","647-668-9855","","","ON","Z6Z 6Z6","","https://www.yellowpages.ca/bus/Ontario/PlumberGirl/100751856.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:28.654772"
"Plumbico","647-693-9938","","","","","","https://www.yellowpages.ca/bus/Ontario/Plumbico/101037273.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:28.654969"
"Kevo","647-559-3625","","","","","","https://www.yellowpages.ca/bus/Ontario/Kevo/100886265.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:28.655167"
"DrainCom","905-238-5844","","","","","","https://www.yellowpages.ca/bus/Ontario/DrainCom/101004747.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:28.655365"
"Mister Plumber","416-939-1530","31 Bloorlea Cres","Etobicoke","ON","M9B 1P2","https://www.yellowpages.ca/gourl/367992c01d36250b027027ee84f3aa9826ba4884?redirect=http%3A%2F%2Fwww.misterplumber.ca%2F","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Mister-Plumber/7892348.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:28.655654"
"Flow Mechanical","416-526-0159","188 Thorndale Rd","Brampton","ON","L6P 3K8","https://www.yellowpages.ca/gourl/7f020b1c5a825eb7e8118d829f86a7fe6806d33a?redirect=http%3A%2F%2Fflowmechanical.ca%2F","https://www.yellowpages.ca/bus/Ontario/Brampton/Flow-Mechanical/7744715.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:28.655911"
"Easy Plumbing","647-893-6042","180-1172 Bay St","Toronto","ON","M5S 2B4","https://www.yellowpages.ca/gourl/66f0427bf3f994fce2dad127f8c55501478bf80d?redirect=http%3A%2F%2Fwww.easyplumbing.ca%2F","https://www.yellowpages.ca/bus/Ontario/Toronto/Easy-Plumbing/100943860.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:28.656169"
"Bradshaw Plumbing","416-286-7511","12 Old Kingston Rd","Scarborough","ON","M1E 3J5","https://www.yellowpages.ca/gourl/b29d2e53ca73277a075dc8ac8d40b6c7ac73afe5?redirect=https%3A%2F%2Fwww.bradshawplumbing.com%2F","https://www.yellowpages.ca/bus/Ontario/Scarborough/Bradshaw-Plumbing/2136645.html?what=plumbing&where=Toronto+ON&useContext=true","plumbing","2022-04-05 16:20:28.656452"
